,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
280,50.48304255,-104.66038039392448,354900,4.0,2.0,1050,1971.0,1.0,0.0
281,50.4493992,-104.56455686831822,269900,6.0,2.0,968,1987.0,1.0,0.0
282,50.4302655,-104.5167589,419900,3.0,3.0,1469,2022.0,1.0,0.0
283,50.4468829,-104.62040705,269000,2.0,2.0,1193,1987.0,0.0,1.0
284,50.42648865,-104.5993002293051,254900,1.0,2.0,753,2012.0,0.0,1.0
285,50.4634756,-104.5328959191892,409900,4.0,3.0,1117,1995.0,1.0,0.0
286,50.4122346,-104.5253413,975000,4.0,4.0,2418,2018.0,1.0,0.0
287,50.42873285,-104.53286725086896,799000,5.0,3.0,1794,1992.0,1.0,0.0
288,50.41577455,-104.6040336245044,309900,4.0,2.0,1040,1959.0,1.0,0.0
289,50.43890235,-104.59484919626772,174900,2.0,1.0,882,1927.0,1.0,0.0
290,50.43974015,-104.58685404040146,168000,2.0,1.0,906,1959.0,1.0,0.0
291,50.40013455,-104.6481489701923,549900,6.0,4.0,1904,2011.0,1.0,0.0
292,50.47979505,-104.5965682,224900,2.0,1.0,720,1963.0,1.0,0.0
293,50.4045734,-104.6599751,319900,4.0,4.0,1176,2013.0,1.0,0.0
294,50.43409285,-104.6285589855,275000,2.0,2.0,808,1950.0,1.0,0.0
295,50.401515450000005,-104.65512459196572,399000,3.0,3.0,1533,2012.0,1.0,0.0
296,50.4337466,-104.58456948819128,1599000,4.0,4.0,2228,2021.0,1.0,0.0
297,50.48377475,-104.63224215,309900,3.0,2.0,1056,1964.0,1.0,0.0
298,50.4685948,-104.6551435003255,249900,4.0,2.0,846,1975.0,1.0,0.0
299,50.421741,-104.6185666,499900,4.0,3.0,1720,1952.0,1.0,0.0
300,50.460566,-104.62941745234042,195000,4.0,2.0,934,1959.0,1.0,0.0
301,50.3977119,-104.62587584898463,295000,3.0,2.0,992,1973.0,1.0,0.0
302,50.4733828,-104.60023690246187,219900,2.0,1.0,736,1947.0,1.0,0.0
303,50.4268663,-104.53145398392115,479000,4.0,4.0,1770,1994.0,1.0,0.0
304,50.45716825,-104.63084435801328,139910,4.0,1.0,1121,1922.0,1.0,0.0
305,50.40486105,-104.60242534686556,224900,3.0,1.0,979,1959.0,1.0,0.0
306,50.45861635,-104.59200485,134900,2.0,1.0,753,1947.0,1.0,0.0
307,50.43973965,-104.58761738646376,239900,4.0,2.0,864,1931.0,1.0,0.0
308,50.49247625,-104.5956799271656,209000,2.0,2.0,912,1974.0,1.0,0.0
309,50.44557025,-104.57856888902576,169900,2.0,1.0,680,1938.0,1.0,0.0
310,50.481538400000005,-104.6082588,221900,2.0,1.0,816,1961.0,1.0,0.0
311,50.4829264,-104.6697956,105000,2.0,1.0,881,1979.0,0.0,1.0
312,50.44564265,-104.58687365,334900,5.0,4.0,1106,1974.0,1.0,0.0
313,50.4524584,-104.6293901,179900,4.0,2.0,1188,1945.0,1.0,0.0
314,50.4903098,-104.68609268761055,239000,3.0,2.0,1080,1978.0,1.0,0.0
315,50.4571377,-104.62857965021628,28900,2.0,1.0,677,1923.0,1.0,0.0
316,50.44653725,-104.5940089006484,289900,4.0,2.0,1371,1909.0,1.0,0.0
317,50.41613835,-104.6243054633999,214900,2.0,2.0,945,2006.0,0.0,1.0
318,50.419741,-104.532249465979,675000,3.0,4.0,2392,1992.0,1.0,0.0
319,50.44932375,-104.5645569,269900,6.0,2.0,968,1987.0,1.0,0.0
320,50.4108733,-104.599646,129900,3.0,2.0,1034,1973.0,0.0,1.0
321,50.45607375,-104.6236450505277,59900,2.0,1.0,672,1924.0,1.0,0.0
